bin start	omega	hist_DD	hist_DR	hist_RR
0.000000	2.105742	2021076	369439	1159582
0.250000	1.526541	3623338	1101569	2697227
0.500000	1.179696	4398386	1831760	4089503
0.750000	0.971814	4933310	2541354	5300512
1.000000	0.847540	5515318	3247218	6422150
1.250000	0.779220	6265388	3962431	7516403
1.500000	0.732308	7044826	4660314	8501568
1.750000	0.695036	7822438	5354504	9465294
2.000000	0.659031	8583034	6056007	10349861
2.250000	0.620994	9246380	6746873	11206593
2.500000	0.595564	9924923	7402781	12067776
2.750000	0.567619	10596442	8083753	12884605
3.000000	0.540512	11209272	8744884	13668467
3.250000	0.512919	11765890	9401481	14447433
3.500000	0.486886	12331355	10064419	15196400
3.750000	0.466575	12977316	10738378	15933721
4.000000	0.453732	13650832	11367272	16628658
4.250000	0.441474	14365661	12017713	17313004
4.500000	0.424494	14976897	12649112	17934342
4.750000	0.411063	15575556	13246322	18536926
5.000000	0.401405	16291625	13883973	19172092
5.250000	0.391845	16972326	14502905	19786868
5.500000	0.383122	17675137	15129835	20400367
5.750000	0.376252	18379750	15734973	20986342
6.000000	0.371170	19033869	16294744	21556876
6.250000	0.359984	19608492	16877150	22102281
6.500000	0.350761	20234556	17456806	22609636
6.750000	0.342447	20824938	18027109	23160540
7.000000	0.331433	21395710	18617098	23690214
7.250000	0.319235	21928449	19214591	24238504
7.500000	0.302563	22367618	19805933	24725158
7.750000	0.283244	22678428	20359652	25170167
8.000000	0.268802	23098297	20936949	25677869
8.250000	0.255306	23529701	21499997	26145374
8.500000	0.242022	23991373	22073323	26590835
8.750000	0.234583	24540271	22605570	27006032
9.000000	0.224187	25145463	23215289	27435900
9.250000	0.222880	25931674	23783174	27839557
9.500000	0.223118	26703137	24325268	28250612
9.750000	0.225914	27519948	24847645	28647129
10.000000	0.224420	28149808	25351513	29079157
10.250000	0.210724	28492096	25870337	29455583
10.500000	0.193106	28739446	26413226	29851505
10.750000	0.170331	28798944	26929388	30204599
11.000000	0.157360	29137279	27425691	30516130
11.250000	0.152808	29753870	27964336	30895933
11.500000	0.148523	30384627	28469788	31186940
11.750000	0.144771	31042244	28992199	31502865
12.000000	0.141420	31735567	29542697	31854729
12.250000	0.137473	32273226	30010282	32169830
12.500000	0.129833	32815141	30541351	32485223
12.750000	0.122857	33309716	31021431	32757663
13.000000	0.115013	33783893	31505273	33024962
13.250000	0.106520	34166158	31974627	33333813
13.500000	0.106173	34761291	32428504	33670612
13.750000	0.097534	35139933	32885041	33940502
14.000000	0.083942	35435714	33384249	34203912
14.250000	0.080042	35953941	33824414	34452539
14.500000	0.074914	36500759	34316344	34734006
14.750000	0.071754	36972139	34728745	34996488
15.000000	0.062226	37247189	35158390	35263934
15.250000	0.053863	37631873	35616100	35513165
15.500000	0.050462	38081248	36037666	35800665
15.750000	0.041178	38366581	36473805	36066173
16.000000	0.026829	38554665	36949383	36318490
16.250000	0.017365	38720452	37316032	36546254
16.500000	0.018017	39310412	37706538	36765055
16.750000	0.016986	39793698	38090234	37015501
17.000000	0.009247	40031648	38451667	37215806
17.250000	-0.000721	40381069	38922303	37436530
17.500000	-0.005673	40733973	39307578	37667500
17.750000	-0.003938	41251492	39631549	37862507
18.000000	-0.008186	41607449	39958140	37997795
18.250000	-0.005530	42172112	40299345	38215239
18.500000	0.000024	42823946	40623969	38424904
18.750000	-0.005634	43177951	40988815	38582304
19.000000	-0.011603	43550344	41355992	38712453
19.250000	-0.025487	43686773	41780385	38882992
19.500000	-0.031755	43916407	42125938	39094034
19.750000	-0.032178	44410284	42460624	39248022
20.000000	-0.029032	44947805	42743790	39396038
20.250000	-0.028559	45272359	42967724	39534053
20.500000	-0.033010	45472827	43204647	39628354
20.750000	-0.037237	45633046	43449013	39783542
21.000000	-0.042842	45846290	43737050	39917652
21.250000	-0.045964	46266218	44049334	39994152
21.500000	-0.041087	46797850	44307644	40167085
21.750000	-0.040170	47295116	44612509	40310630
22.000000	-0.035399	47928412	44911200	40461698
22.250000	-0.035022	48306098	45140976	40555521
22.500000	-0.032120	48674736	45322287	40663728
22.750000	-0.030906	48982756	45522355	40800963
23.000000	-0.034216	49070068	45672314	40875961
23.250000	-0.035779	49174354	45808042	40975643
23.500000	-0.037494	49380536	45997077	41073607
23.750000	-0.040234	49333769	46084656	41178761
24.000000	-0.040987	49292071	46125782	41268057
24.250000	-0.037570	49287326	46085054	41330005
24.500000	-0.041051	49063895	46089835	41415610
24.750000	-0.037655	49067668	46060018	41490045
25.000000	-0.026969	49346404	46024698	41581577
25.250000	-0.019158	49724286	46097780	41672909
25.500000	-0.011224	50025245	46108931	41724287
25.750000	-0.006247	50354301	46193068	41770890
26.000000	-0.005077	50500761	46261188	41809333
26.250000	-0.001470	50615125	46289379	41902044
26.500000	0.003667	50985552	46383787	41935820
26.750000	0.003971	51082017	46471823	42028543
27.000000	0.001823	50919471	46452490	42062189
27.250000	0.005860	50970425	46386516	42049020
27.500000	0.016941	51014016	46197916	42094962
27.750000	0.022183	51058710	46147659	42172098
28.000000	0.030069	51301006	46120037	42208208
28.250000	0.036619	51432388	46063566	42241597
28.500000	0.042181	51497482	46008193	42303297
28.750000	0.039544	51420680	46054186	42362899
29.000000	0.037710	51406770	46091970	42375122
29.250000	0.032286	51304741	46188867	42443308
29.500000	0.030237	51268829	46213059	42440573
29.750000	0.029961	51305201	46242485	42451666
30.000000	0.025173	51152850	46279734	42475853
30.250000	0.025088	51038361	46249387	42527338
30.500000	0.023078	51038992	46295262	42533112
30.750000	0.019669	51004806	46341827	42515068
31.000000	0.020145	51029411	46347296	42521798
31.250000	0.023143	51130713	46320992	42494708
31.500000	0.024031	51070919	46279149	42508920
31.750000	0.018304	51135077	46411264	42464744
32.000000	0.016040	51211562	46487158	42443536
32.250000	0.016057	51294965	46518278	42422766
32.500000	0.010426	51175110	46557563	42381883
32.750000	0.003208	50963606	46602540	42377416
33.000000	0.003151	50990310	46604629	42352385
33.250000	0.007566	51215537	46629825	42364660
33.500000	0.001447	51154382	46708517	42323902
33.750000	0.004013	51238693	46696401	42323963
34.000000	0.001898	51298352	46725197	42232196
34.250000	0.003337	51485100	46784593	42224993
34.500000	0.006602	51713432	46809601	42184281
34.750000	-0.000470	51512955	46843337	42153888
35.000000	-0.008453	51242092	46830144	42062651
35.250000	-0.014390	51007503	46825127	42037844
35.500000	-0.019772	50831247	46814421	41967798
35.750000	-0.024192	50740582	46834301	41914022
36.000000	-0.027189	50592406	46805871	41880658
36.250000	-0.029090	50468933	46752096	41818747
36.500000	-0.031522	50151870	46618171	41767876
36.750000	-0.032516	49893702	46476713	41703693
37.000000	-0.043767	49448377	46467767	41663660
37.250000	-0.054248	49044891	46455783	41609464
